"Ping Local" "Ping LocalApp-CorpApp" "Ping LocalApp-CorpDB" "Load Average LocalApp" "Load Average LocalDB" "Load Average CORPApp" "TNS ping LocalApp-LocalDB" "TNS ping LocalApp-CorpDB" "Class"
0.399 58.6 51.3 1.98 0.41 1.50 0 120 0
0.551 58.9 51.3 1.88 0.32 1.52 0 120 0
0.385 63.9 51.3 1.15 0.30 1.64 0 140 0
0.419 56.1 51.4 1.19 0.31 0.80 0 120 0
0.390 57.2 51.2 1.42 0.23 1.74 10 120 0
0.452 64.8 51.2 1.02 0.47 1.21 0 120 0
0.337 61.4 51.3 0.74 0.21 0.70 0 110 0
0.495 55.7 51.3 0.86 0.12 0.95 0 110 0
0.453 63.6 50.8 1.43 0.30 0.74 0 120 0
0.331 59.4 55.9 1.64 0.42 8.68 0 120 0
0.460 59.1 51.2 1.71 0.43 11.06 10 120 0
0.321 57.3 51.7 1.41 0.62 11.63 0 120 0
0.598 56.0 51.4 1.89 0.64 11.50 0 120 0
0.400 60.1 51.2 2.86 0.67 13.70 0 120 0
0.341 57.6 51.5 2.57 0.48 7.87 0 110 0
0.441 56.1 50.6 2.52 0.57 4.06 0 110 0
0.456 58.6 52.0 2.58 0.59 1.96 0 120 0
0.523 58.1 51.4 2.24 0.51 0.77 0 120 0
0.369 61.9 91.0 2.30 0.31 2.56 0 180 0
0.448 61.9 78.3 2.33 0.15 1.55 10 190 0
0.403 56.7 9999999999 2.74 0.20 1.79 0 140 2
0.342 55.2 51.3 2.36 0.33 2.81 0 120 0
0.332 55.1 51.2 2.64 0.43 1.56 0 120 0
0.381 57.2 51.4 2.18 0.47 0.72 0 110 0
0.374 59.6 50.9 2.38 0.52 0.82 0 120 0
0.477 58.5 50.9 2.73 0.67 4.39 0 130 0
0.322 57.4 51.3 2.73 0.71 2.25 0 110 0
0.314 60.6 51.3 3.34 0.36 1.21 0 110 0
0.415 57.9 51.4 2.62 0.53 1.77 0 110 0
0.417 59.2 51.9 2.38 0.31 4.13 0 120 0
0.320 58.8 50.7 1.64 0.18 2.91 0 110 0
0.409 59.7 51.3 1.99 0.14 3.00 0 120 0
0.416 56.0 51.2 3.15 0.16 2.21 0 120 0
0.390 54.7 51.0 2.70 0.39 2.30 0 120 0
0.242 9999999999 50.3 2.81 0.43 2.35 0 120 1
0.382 56.4 50.5 2.83 0.38 2.82 0 110 0
0.422 57.7 51.2 2.91 0.26 5.45 0 110 0
0.333 71.5 50.8 3.07 0.09 3.52 0 120 0
0.383 60.2 51.3 2.93 0.29 1.98 0 120 0
0.404 69.6 51.3 2.27 0.34 1.13 10 130 0
0.404 61.9 51.1 2.56 0.29 4.10 0 120 0
0.449 61.3 51.3 3.32 0.31 4.14 0 120 0
0.358 70.0 51.5 2.63 0.24 4.65 0 150 0
0.434 58.8 51.3 1.35 0.40 5.16 0 110 0
0.340 68.3 51.3 1.27 0.27 5.02 10 120 0
0.384 60.6 51.2 0.91 0.30 3.85 0 120 0
0.393 9999999999 51.6 2.01 0.58 5.52 0 120 1
0.399 59.9 51.3 1.90 0.33 4.35 0 110 0
0.310 166 51.0 1.29 0.12 2.64 0 110 0
0.376 65.3 51.5 1.13 0.38 2.82 0 120 0
0.369 62.6 51.2 0.89 0.48 2.03 0 120 0
0.384 60.4 51.7 0.78 0.50 1.33 0 120 0
0.413 60.3 51.6 0.56 0.37 1.00 0 120 0
0.512 61.1 51.2 0.39 0.22 0.52 0 120 0
0.398 57.7 51.2 0.38 0.47 0.89 0 110 0
0.386 77.3 51.6 1.01 0.17 1.69 10 120 0
0.309 64.6 51.1 1.38 0.20 3.31 10 120 0
0.424 73.6 51.6 1.77 0.11 2.18 0 120 0
0.365 59.1 51.5 2.10 0.24 1.58 0 130 0
0.429 55.5 51.3 1.59 0.25 2.00 0 120 0
0.383 64.7 51.6 1.44 0.25 1.50 0 120 0
0.329 61.1 51.2 1.20 0.09 1.70 10 120 0
0.340 68.9 51.5 1.05 0.25 0.92 0 110 0
0.503 75.9 51.4 0.82 0.21 0.54 0 120 0
0.340 56.5 51.6 0.77 0.25 0.66 0 120 0
0.299 73.5 51.6 1.06 0.09 0.68 0 120 0
0.342 64.2 51.1 1.48 0.22 2.55 0 110 0
0.392 90.6 51.6 1.71 0.12 1.25 0 120 0
0.392 56.5 51.4 1.31 0.18 0.59 0 120 0
0.403 58.0 51.5 1.35 0.38 1.39 0 120 0
0.376 66.5 51.5 1.58 0.18 2.53 0 110 0
0.353 69.3 51.6 1.44 0.31 1.90 0 110 0
0.544 60.4 51.6 0.97 0.24 1.43 0 120 0
0.322 64.2 51.1 1.02 0.18 1.03 0 110 0
0.455 73.8 51.7 1.66 0.11 0.41 0 110 0
0.383 66.3 51.0 1.43 0.39 0.41 0 120 0
0.558 79.7 51.0 2.73 0.51 3.13 10 110 0
0.334 69.7 51.4 2.46 0.46 1.33 0 120 0
0.555 95.3 51.3 2.97 0.52 0.59 10 110 0
0.477 56.0 51.5 3.03 0.50 0.91 0 120 0
0.529 67.8 51.2 2.96 0.36 0.54 0 110 0
0.456 67.1 51.4 2.02 0.28 5.16 10 120 0
0.434 56.9 51.7 1.59 0.21 7.32 0 110 0
0.506 57.5 51.4 1.33 0.08 7.38 0 120 0
0.511 77.3 51.1 1.27 0.09 8.12 0 120 0
0.369 57.8 51.5 1.36 0.37 4.08 0 120 0
0.535 69.7 51.5 1.16 0.17 4.17 0 120 0
0.454 58.5 51.2 1.37 0.18 2.23 10 130 0
0.308 62.7 51.6 1.89 0.10 2.33 0 120 0
0.388 59.1 51.3 2.42 0.24 2.08 10 120 0
0.343 66.0 51.0 2.27 0.30 1.55 0 120 0
0.410 82.3 51.6 1.73 0.25 3.49 0 120 0
0.388 64.9 51.6 1.36 0.28 1.96 0 110 0
0.417 116 51.3 1.86 0.14 1.88 0 120 0
0.434 93.4 51.3 1.92 0.36 1.28 10 110 0
0.533 99.1 51.2 2.20 0.41 0.93 0 110 0
0.374 71.9 51.5 1.54 0.33 2.03 0 110 0
0.415 87.0 51.6 1.49 0.15 1.01 10 110 0
0.431 55.0 51.2 1.66 0.05 1.03 0 120 0
0.411 59.4 51.7 2.14 0.27 1.78 0 110 0
0.309 55.9 51.4 1.56 0.25 1.07 10 110 0
0.398 56.3 51.3 1.41 0.45 1.45 0 110 0
0.357 66.1 51.4 0.87 0.29 1.57 0 120 0
0.360 55.9 51.8 0.93 0.22 1.21 0 110 0
0.366 60.6 51.4 1.02 0.33 1.14 0 120 0
0.453 59.8 51.3 0.79 0.53 0.53 0 120 0
0.382 55.1 51.6 1.94 0.41 2.68 0 120 0
0.418 56.2 51.3 1.78 0.86 1.15 10 120 0
0.332 60.5 51.3 1.86 0.79 0.87 0 120 0
0.380 55.8 51.5 2.02 0.62 1.37 0 120 0
0.390 56.7 51.3 1.61 0.68 3.82 0 120 0
0.460 56.1 51.1 1.54 0.57 2.24 0 120 0
0.416 9999999999 51.4 1.26 0.47 1.96 0 120 1
0.416 56.5 51.5 1.42 0.32 1.85 0 250 0
0.508 63.3 51.5 1.29 0.57 2.49 10 620 0
0.302 57.3 51.7 1.11 0.40 1.98 0 120 0
0.424 55.7 51.7 1.25 0.26 4.56 0 120 0
0.389 60.2 51.1 1.89 0.25 3.34 0 120 0
0.343 55.6 51.8 1.92 0.34 3.26 0 110 0
0.392 95.0 51.1 2.37 0.35 5.75 0 120 0
0.415 57.9 51.6 1.85 0.32 4.14 0 120 0
0.398 56.3 51.6 1.39 0.27 3.37 0 120 0
0.446 58.1 51.4 1.35 0.20 2.51 0 120 0
0.415 67.5 55.9 1.29 0.41 1.73 0 150 0
0.490 59.9 55.9 1.32 0.25 3.42 0 120 0
0.450 58.5 55.4 1.67 0.33 3.67 0 130 0
0.339 60.5 56.1 2.16 0.27 6.13 10 130 0
0.415 71.5 55.9 1.81 0.28 5.29 0 130 0
0.320 64.4 55.8 1.28 0.35 3.87 0 120 0
0.366 57.8 55.6 1.51 0.60 3.08 10 120 0
0.422 59.0 55.6 2.03 0.35 2.08 0 120 0
0.499 59.5 55.9 1.51 0.28 1.79 0 130 0
0.406 73.3 55.4 2.22 0.49 1.70 0 120 0
0.370 60.2 55.9 2.45 0.34 0.95 0 120 0
0.411 60.6 55.8 2.70 0.67 0.91 0 120 0
0.391 62.2 55.4 1.77 0.44 1.05 10 120 0
0.553 59.9 55.5 2.80 0.67 4.04 0 120 0
0.349 60.2 55.7 2.25 0.83 3.14 0 130 0
0.420 72.6 55.7 2.69 1.55 3.42 0 130 0
0.368 61.6 56.2 2.86 0.94 3.33 0 130 0
0.414 58.8 55.7 2.28 0.49 2.82 0 120 0
0.335 61.4 55.8 2.43 0.41 4.43 10 130 0
0.353 63.9 55.7 2.07 0.54 3.77 0 120 0
0.424 74.6 55.7 1.47 0.49 3.67 0 120 0
0.463 77.6 55.8 1.48 0.35 3.60 0 140 0
0.301 68.5 55.9 1.22 0.20 4.40 0 120 0
0.359 59.2 56.0 1.30 0.49 6.24 0 130 0
0.339 195 55.7 1.04 0.65 5.57 0 130 0
0.435 89.3 55.7 1.29 0.50 5.04 0 120 0
0.344 118 55.8 1.09 0.37 3.71 0 130 0
0.349 62.8 55.9 1.52 0.52 3.85 0 120 0
0.357 87.2 60.5 1.08 0.35 7.09 0 130 0
0.465 67.0 55.8 1.29 0.22 5.31 0 130 0
0.395 73.2 55.7 1.38 0.26 3.78 0 130 0
0.386 70.7 55.8 1.60 0.39 2.80 0 130 0
0.416 69.4 55.8 1.26 0.60 3.56 0 130 0
0.350 55.6 55.7 1.62 0.55 4.31 0 130 0
0.394 55.8 55.8 1.46 0.62 3.70 0 130 0
0.357 59.2 56.1 1.86 0.42 2.38 10 120 0
0.370 57.6 55.7 1.30 0.48 2.00 0 120 0
0.395 58.6 55.8 1.53 0.22 1.84 0 130 0
0.468 56.1 55.6 1.98 0.21 5.02 0 130 0
0.392 55.7 55.9 2.04 0.27 5.04 0 120 0
0.399 56.7 55.8 2.04 0.33 2.90 0 130 0
0.422 59.1 55.2 2.65 0.25 2.09 0 130 0
0.342 61.5 55.9 2.75 0.41 2.66 0 130 0
0.355 73.8 56.1 3.61 0.55 3.98 0 120 0
0.375 56.3 56.1 3.32 0.89 2.17 10 120 0
0.673 56.5 55.8 3.28 1.31 1.78 0 120 0
0.358 57.0 55.7 2.98 0.70 2.14 0 120 0
0.380 57.5 56.0 2.39 0.44 1.43 0 120 0
0.354 60.2 55.8 2.26 0.49 5.98 10 130 0
0.483 59.2 55.6 1.55 0.53 11.27 0 120 0
0.432 56.7 55.2 0.88 0.54 11.31 0 120 0
0.394 57.4 56.0 1.82 0.38 11.35 0 130 0
0.522 77.5 56.2 2.03 0.42 10.21 10 120 0
0.391 56.0 56.0 2.96 0.48 13.67 0 130 0
0.367 56.4 56.0 3.25 0.60 7.71 10 120 0
0.393 58.3 55.9 3.40 0.43 5.25 0 130 0
0.396 55.6 55.3 2.89 0.35 4.04 0 130 0
0.319 63.5 55.8 2.10 0.52 3.93 0 120 0
0.416 54.6 55.9 1.67 0.26 2.57 10 120 0
0.280 56.4 56.3 1.62 0.27 2.71 0 130 0
0.442 55.4 55.8 1.67 0.31 1.73 0 130 0
0.379 64.1 55.7 1.09 0.61 1.51 0 120 0
0.442 55.7 55.7 1.11 0.27 0.81 0 130 0
0.333 58.2 55.5 2.07 0.17 3.57 0 130 0
0.375 58.6 56.0 2.45 0.29 1.60 0 130 0
0.325 58.3 55.6 1.86 0.23 1.36 0 120 0
0.404 56.9 55.6 3.20 0.43 1.28 0 130 0
0.330 61.4 55.9 2.41 0.32 0.83 0 130 0
0.314 55.4 58.8 2.46 0.58 2.28 0 130 0
0.339 56.3 55.7 1.43 0.49 1.13 0 130 0
0.402 58.0 55.4 1.13 0.55 0.80 0 130 0
0.556 76.4 56.0 1.88 0.43 0.42 10 120 0
